Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,28.399999618530273,28.700000762939453,26.700000762939453,27.0,11.993163108825684,33250
2023-10-10,27.100000381469727,27.31999969482422,25.299999237060547,26.5,11.77106761932373,34510
2023-10-11,26.399999618530273,27.600000381469727,25.700000762939453,26.200000762939453,11.637810707092285,14190
2023-10-12,26.899999618530273,27.920000076293945,26.299999237060547,27.0,11.993163108825684,13240
2023-10-13,27.5,30.399999618530273,26.700000762939453,28.600000381469727,12.703868865966797,62690
2023-10-16,31.0,31.299999237060547,29.100000381469727,30.0,13.325736999511719,23620
2023-10-17,30.100000381469727,30.5,27.5,28.200000762939453,12.526192665100098,27740
2023-10-18,28.399999618530273,28.399999618530273,26.0,27.399999618530273,12.170839309692383,43000
2023-10-19,27.799999237060547,27.950000762939453,26.899999618530273,27.200000762939453,12.082001686096191,30360
2023-10-20,10.319999694824219,11.979999542236328,10.20199966430664,10.899999618530273,10.899999618530273,153600
2023-10-23,10.979999542236328,11.09000015258789,9.180000305175781,9.460000038146973,9.460000038146973,131700
2023-10-24,9.75,12.550000190734863,9.609999656677246,11.890000343322754,11.890000343322754,149100
2023-10-25,12.050000190734863,12.444999694824219,11.5,12.359999656677246,12.359999656677246,80000
2023-10-26,12.25,13.640000343322754,12.0600004196167,13.079999923706055,13.079999923706055,68400
2023-10-27,14.100000381469727,14.739999771118164,13.390000343322754,14.0,14.0,136500
2023-10-30,15.050000190734863,15.28499984741211,14.364999771118164,14.850000381469727,14.850000381469727,99300
2023-10-31,16.280000686645508,17.0,15.670000076293945,16.489999771118164,16.489999771118164,77300
2023-11-01,16.8700008392334,17.25,16.145999908447266,17.219999313354492,17.219999313354492,38800
2023-11-02,17.780000686645508,18.399999618530273,16.809999465942383,17.229999542236328,17.229999542236328,42300
2023-11-03,18.0,18.0,16.165000915527344,16.780000686645508,16.780000686645508,140700
