Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2023-06-06,5.03000020980835,5.119999885559082,5.0,5.099999904632568,5.099999904632568,157700,CDZI
2023-06-07,5.099999904632568,5.309999942779541,5.010000228881836,5.059999942779541,5.059999942779541,230200,CDZI
2023-06-08,5.059999942779541,5.099999904632568,4.5,4.739999771118164,4.739999771118164,390900,CDZI
2023-06-09,4.730000019073486,4.829999923706055,4.610000133514404,4.650000095367432,4.650000095367432,162800,CDZI
2023-06-12,4.559999942779541,4.590000152587891,4.170000076293945,4.480000019073486,4.480000019073486,272900,CDZI
2023-06-13,4.309999942779541,4.820000171661377,4.239999771118164,4.519999980926514,4.519999980926514,3536100,CDZI
2023-06-14,4.510000228881836,4.570000171661377,4.300000190734863,4.460000038146973,4.460000038146973,324000,CDZI
2023-06-15,4.449999809265137,4.480000019073486,4.25,4.429999828338623,4.429999828338623,330700,CDZI
2023-06-16,4.400000095367432,4.570000171661377,4.28000020980835,4.300000190734863,4.300000190734863,370500,CDZI
2023-06-20,4.300000190734863,4.309999942779541,4.099999904632568,4.119999885559082,4.119999885559082,338300,CDZI
2023-06-21,4.179999828338623,4.210000038146973,4.019999980926514,4.050000190734863,4.050000190734863,295500,CDZI
2023-06-22,4.010000228881836,4.079999923706055,4.0,4.03000020980835,4.03000020980835,238400,CDZI
2023-06-23,4.0,4.090000152587891,3.9100000858306885,3.930000066757202,3.930000066757202,5452200,CDZI
2023-06-26,3.9200000762939453,4.019999980926514,3.8499999046325684,3.9800000190734863,3.9800000190734863,421600,CDZI
2023-06-27,4.039999961853027,4.039999961853027,3.7300000190734863,3.799999952316284,3.799999952316284,491300,CDZI
2023-06-28,3.7799999713897705,3.869999885559082,3.75,3.819999933242798,3.819999933242798,238200,CDZI
2023-06-29,3.869999885559082,3.9600000381469727,3.7699999809265137,3.950000047683716,3.950000047683716,257800,CDZI
2023-06-30,3.9600000381469727,4.190000057220459,3.9600000381469727,4.059999942779541,4.059999942779541,566300,CDZI
2023-07-03,4.050000190734863,4.119999885559082,3.9000000953674316,3.9100000858306885,3.9100000858306885,97700,CDZI
2023-07-05,3.9100000858306885,3.9100000858306885,3.619999885559082,3.680000066757202,3.680000066757202,328400,CDZI
2023-07-06,3.6600000858306885,3.680000066757202,3.2799999713897705,3.3399999141693115,3.3399999141693115,496800,CDZI
2023-07-07,3.549999952316284,3.609999895095825,3.450000047683716,3.5,3.5,406100,CDZI
2023-07-10,3.5,3.5299999713897705,3.450000047683716,3.4700000286102295,3.4700000286102295,264100,CDZI
2023-07-11,3.4700000286102295,3.509999990463257,3.440000057220459,3.4700000286102295,3.4700000286102295,178300,CDZI
2023-07-12,3.490000009536743,3.5399999618530273,3.490000009536743,3.5199999809265137,3.5199999809265137,317100,CDZI
2023-07-13,3.5299999713897705,4.03000020980835,3.4000000953674316,3.8399999141693115,3.8399999141693115,9923700,CDZI
2023-07-14,3.8299999237060547,3.8299999237060547,3.6500000953674316,3.75,3.75,422500,CDZI
2023-07-17,3.9000000953674316,4.25,3.869999885559082,4.0,4.0,593200,CDZI
2023-07-18,3.990000009536743,4.03000020980835,3.809999942779541,3.9200000762939453,3.9200000762939453,252200,CDZI
2023-07-19,3.9200000762939453,4.090000152587891,3.9100000858306885,4.070000171661377,4.070000171661377,304700,CDZI
2023-07-20,4.070000171661377,4.179999828338623,4.03000020980835,4.090000152587891,4.090000152587891,188200,CDZI
